route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,NS Transports,Non A/C Seater / Sleeper (2+1),19:31,08h 59m,4:30,3.9,INR 749,11
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Bharathi Travels,A/C Sleeper (2+1),20:50,08h 45m,5:35,2.2,INR 600,21
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,P K Travels,Non A/C Seater / Sleeper (2+1),21:00,09h 00m,6:00,4.1,INR 700,31
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,DA Transports,A/C Sleeper (2+1),22:00,09h 45m,7:45,3,INR 749,28
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,National travels and logistics,A/C Sleeper (2+1),21:15,09h 00m,6:15,3.9,INR 2290,23
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,DA Transports,A/C Sleeper (2+1),21:50,08h 55m,6:45,3.7,INR 799,28
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Vijay Lines,A/C Seater / Sleeper (2+1),22:30,10h 20m,8:50,1.8,INR 1999,40
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore?fromCityId=653&toCityId=122&fromCityName=Chittoor%20(Andhra%20Pradesh)&toCityName=Bangalore&busType=Any&opId=0&onward=19-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 9003,Express(Non AC Seater),20:00,04h 25m,0:25,4.5,INR 186,46
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore?fromCityId=653&toCityId=122&fromCityName=Chittoor%20(Andhra%20Pradesh)&toCityName=Bangalore&busType=Any&opId=0&onward=19-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 9041,Express(Non AC Seater),21:00,04h 25m,1:25,3.6,INR 186,47
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore?fromCityId=653&toCityId=122&fromCityName=Chittoor%20(Andhra%20Pradesh)&toCityName=Bangalore&busType=Any&opId=0&onward=19-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 9061,Express(Non AC Seater),21:45,03h 25m,1:10,3.8,INR 186,45
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore?fromCityId=653&toCityId=122&fromCityName=Chittoor%20(Andhra%20Pradesh)&toCityName=Bangalore&busType=Any&opId=0&onward=19-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 5524,Express(Non AC Seater),22:45,04h 10m,2:55,4.1,INR 186,46
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore?fromCityId=653&toCityId=122&fromCityName=Chittoor%20(Andhra%20Pradesh)&toCityName=Bangalore&busType=Any&opId=0&onward=19-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 9080,Express(Non AC Seater),23:15,03h 25m,2:40,3.9,INR 186,42
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore?fromCityId=653&toCityId=122&fromCityName=Chittoor%20(Andhra%20Pradesh)&toCityName=Bangalore&busType=Any&opId=0&onward=19-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 5528,Super Luxury (Non AC Seater 2+2 Push Back),23:59,05h 16m,5:15,4,INR 304,28
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore?fromCityId=653&toCityId=122&fromCityName=Chittoor%20(Andhra%20Pradesh)&toCityName=Bangalore&busType=Any&opId=0&onward=19-Jul-2024&srcCountry=IND&destCountry=IND,NueGo,Electric A/C Seater (2+2),19:30,04h 40m,0:10,4,314,37
